No of Employee,95,,,
No of Buses,4,,,
No of PotentialBusStop,13,,,
,,,,
EMPLOYEE ID,Boarding LOCATION,START TIME WINDOW,END TIME WINDOW,Boarding Location Address
P1,"12.9125291,77.5982493",0,120,BTM 2nd stage
P2,"12.9350054,77.6115462",0,120,Koramangala
P3,"12.9268719,77.5990938",0,120,Anand Ashram
P4,"12.9378759,77.5944627",0,120,Vijaya Bank Adugodi
P5,"12.8881313,77.5914776",0,120,Hulimavu Gate
P6,"12.9435045,77.6075158",0,120,Adugodi 
P7,"12.957529,77.614549",0,120,Austin Town
P8,"12.9543982,77.6175925",0,120,Viveknagar
P9,"12.9362168,77.608889",0,120,Koramangala
P10,"12.9434952,77.6077375",0,120,Adugodi Signal
P11,"12.9141921,77.6007554",0,120,Mico Layout
P12,"12.9485816,77.5797068",0,120,Ashram HDFC Bank
P13,"12.9431116,77.5959437",0,120,Lakkasandra Bus Stop
P14,"12.9229302,77.5663966",0,120,Arakere BTS Layout
P15,"12.9478156,77.6027586",0,120,Aneypalya
P16,"12.9436745,77.6077108",0,120,Adugodi Signal
P17,"12.9229302,77.5663966",0,120,Arakere Layout
P18,"12.9436745,77.6077108",0,120,Adugodi Signal
P19,"12.9436745,77.6077108",0,120,Adugodi Signal
P20,"12.9521797,77.6188548",0,120,Viveknagar 
P21,"12.9164844,77.6016567",0,120,Mico Layout
P22,"12.9436745,77.6077108",0,120,Adugodi Signal
P23,"12.9089725,77.5979482",0,120,Bannerghatta Road
P24,"12.9436745,77.6077108",0,120,Adugodi Signal
P25,"12.9350054,77.6115462",0,120,Koramangala
P26,"12.9521797,77.6188548",0,120,Viveknagar 
P27,"12.889589,77.5976873",0,120,Arakere Gate
P28,"12.9543982,77.6175925",0,120,Viveknagar 
P29,"12.9436745,77.6077108",0,120,Adugodi Signal
P30,"12.9436745,77.6077108",0,120,Adugodi Signal
P31,"12.9436745,77.6077108",0,120,Adugodi Signal
P32,"12.9089725,77.5979482",0,120,Bannerghatta Road
P33,"12.9521797,77.6188548",0,120,Viveknagar 
P34,"12.9268719,77.5990938",0,120,Sagar Appolo Hospital
P35,"12.9436745,77.6077108",0,120,Adugodi Signal
P36,"12.9481897,77.6002658",0,120,Canara  Bank
P37,"12.9164844,77.6016567",0,120,Mico Layout
P38,"12.887181,77.5970994",0,120,BPL Stop
P39,"12.944564,77.6026457",0,120,Mico Signal
P40,"12.9176934,77.6089431",0,120,Udupi Guarden
P41,"12.9436745,77.6077108",0,120,Adugodi Signal
P42,"12.9436745,77.6077108",0,120,Adugodi Signal
P43,"12.9164844,77.6016567",0,120,BTM
P44,"12.9350054,77.6115462",0,120,Koramangala
P45,"12.9567638,77.6129863",0,120,Austin Town
P46,"12.9175363,77.5999589",0,120,Jayadeva Hospital Junction
P47,"12.9164844,77.6016567",0,120,BTM
P48,"12.889589,77.5976873",0,120,Arekere Gate
P49,"12.9268719,77.5990938",0,120,Ashram Bus Stop
P50,"12.9436745,77.6077108",0,120,Adugodi Signal
P51,"12.9176934,77.6089431",0,120,Udupi Guarden
P52,"12.9436745,77.6077108",0,120,Adugodi Signal
P53,"12.9436745,77.6077108",0,120,Adugodi Signal
P54,"12.9164844,77.6016567",0,120,BTM
P55,"12.9436745,77.6077108",0,120,Adugodi Signal
P56,"12.9268719,77.5990938",0,120,Ashram 
P57,"12.9436745,77.6077108",0,120,Adugodi Signal
P58,"12.9350054,77.6115462",0,120,Koramangala
P59,"12.9481897,77.6002658",0,120,Canara  Bank
P60,"12.9442415,77.6026388",0,120,Mico Signal
P61,"12.9368414,77.6004492",0,120,Lakkasandra Bus Stop
P62,"12.9640503,77.5711259",0,120,Spar Stop
P63,"12.9350054,77.6115462",0,120,Koramangala
P64,"12.9436745,77.6077108",0,120,Adugodi Signal
P65,"12.9481897,77.6002658",0,120,Canara  Bank
P66,"12.9089725,77.5979482",0,120,Bannerghatta Road
P67,"12.9436745,77.6077108",0,120,Adugodi Signal
P68,"12.889589,77.5976873",0,120,Arekere Gate
P69,"12.9175363,77.5999589",0,120,Jayadeva Hospital Junction
P70,"12.889589,77.5976873",0,120,Arekere Gate
P71,"12.9436745,77.6077108",0,120,Adugodi Signal
P72,"12.889589,77.5976873",0,120,Arekere Gate
P73,"12.889589,77.5976873",0,120,Arekere Gate
P74,"12.9436745,77.6077108",0,120,Adugodi Signal
P75,"12.9408786,77.6198734",0,120,Koramangala Police Station
P76,"12.8560296,77.5886844",0,120,Gottigere
P77,"12.9164844,77.6016567",0,120,Mico Layout
P78,"12.9169078,77.6216554",0,120,Silk Board
P79,"12.9089725,77.5979482",0,120,Bannerghatta Road
P80,"12.9442415,77.6026388",0,120,Mico Signal
P81,"12.9442415,77.6026388",0,120,Mico Signal
P82,"12.9389163,77.6008787",0,120,Dairy Circle
P83,"12.9442415,77.6026388",0,120,Mico Signal
P84,"12.9218711,77.5986135",0,120,Thilaknagar
P85,"12.9350054,77.6115462",0,120,Koramangala
P86,"12.8560296,77.5886844",0,120,Gottigere
P87,"12.9436745,77.6077108",0,120,Adugodi Signal
P88,"12.9420488,77.6232414",0,120,Koramangala Depot
P89,"12.9442415,77.6026388",0,120,Mico Signal
P90,"12.9481897,77.6002658",0,120,Canara  Bank
P91,"12.9218711,77.5986135",0,120,Thilaknagar
P92,"12.9408786,77.6198734",0,120,Koramangala Police Station
P93,"12.9408786,77.6198734",0,120,Koramangala Police Station
P94,"12.9164844,77.6016567",0,120,BTM
P95,"12.9164844,77.6016567",0,120,BTM
,,,,
"Potential Bus Stop ,Bangalore ,India",Coordinate,,,
"Austin Town - Bus stop ,Bangalore ,India","12.961839, 77.614714",,,
"Vivek Nagar Circle ,Bangalore ,India","12.9529247,77.6231374",,,
"Ejipura Main road ,Bangalore ,India","12.9465,77.6288",,,
"National Games Village Gate ,Bangalore ,India","12.948995, 77.619918",,,
"Koramangala depot ,Bangalore ,India","12.941150, 77.624709",,,
"Adugodi Police station ,Bangalore ,India","12.939523, 77.610132",,,
"Adugodi Circle ,Bangalore ,India","12.935151, 77.610969",,,
"Canara bank - Mico branch B G Road ,Bangalore ,India","12.948498, 77.602454",,,
"Jayadeva ,Bangalore ,India","12.9167227,77.5982553",,,
"Billekalli Bus stop ,Bangalore ,India","12.9004228,77.5996756",,,
"via Bhannerughatta Road ,Bangalore ,India","12.9422682,77.6005108",,,
"Gottigere Nice toll ,Bangalore ,India","12.9564173,77.4692529",,,
"Bosch Bidadi ,Bangalore ,India","12.9481845,77.6002605",,,
,,,,
BUS No.,BUS CAPACITY,,,
v1,50,,,
v2,50,,,
v3,50,,,
v4,50,,,
